GEL-Oral_Oropharyngeal_common_SBS2	GEL-Oral_Oropharyngeal_common_SBS3+16	GEL-Oral_Oropharyngeal_common_SBS17	GEL-Oral_Oropharyngeal_common_SBS1	GEL-Oral_Oropharyngeal_common_SBS13	GEL-Oral_Oropharyngeal_common_SBS127	GEL-Oral_Oropharyngeal_common_SBS18	GEL-Oral_Oropharyngeal_rare_SBS4	GEL-Oral_Oropharyngeal_rare_SBS7a	GEL-Oral_Oropharyngeal_rare_SBS10a	GEL-Oral_Oropharyngeal_rare_SBS31	GEL-Oral_Oropharyngeal_rare_SBS33	GEL-Oral_Oropharyngeal_rare_SBS13	GEL-Oral_Oropharyngeal_rare_SBS93+121	unassigned
GEL-2411823-11	6217.83186470665	12796.2409653542	0	0	6115.30990441832	0	13737.9426786368	30177.4640376521	0	0	0	0	0	0	3317.21054923194
GEL-2002720-11	0	4377.32849327675	899.861956132727	1707.73802341633	680.895546807096	1235.31049644665	729.388107776471	0	0	0	0	0	0	0	147.477376143976
GEL-2748299-11	0	5201.47159927975	0	913.502209854313	2032.16803077427	1994.23023408086	1376.24349320674	0	0	0	0	0	0	0	680.384432804067
GEL-2416542-11	597.984304399524	613.535909631391	0	1350.98299643282	0	772.563614744352	601.997621878716	0	0	0	0	0	0	0	281.935552913197
GEL-2303922-11	0	4625.63014149391	1010.32181638697	1107.04409345179	0	1475.89174070418	1677.35472194801	0	0	0	0	0	0	0	764.75748601514
GEL-2243002-11	13650.1722883244	0	0	10555.0402094719	0	20748.18190068	14957.8056084598	0	110154.111146113	0	0	0	0	0	2892.68884695088
GEL-2877843-11	0	916.224602375679	763.853553452788	3604.94914435273	0	0	6460.53247433058	0	0	0	0	0	0	0	661.440225488222
GEL-2441082-11	334.613222784538	379.261763755788	0	1448.31840206741	0	549.829223645957	1491.9636050393	0	0	0	0	0	0	0	455.013782707007
GEL-2517718-11	1314.9493107105	13872.5650053022	0	0	0	0	4881.73679745493	0	0	0	0	0	0	0	1179.74888653237
GEL-2733042-11	0	3299.27493853562	23926.8721395423	2017.58541730313	0	2404.79372699632	2174.16965623591	0	0	0	0	0	0	0	565.304121386718
GEL-2619309-11	1169.45507039512	5917.80279634075	0	1559.10669564653	0	3149.22545902809	2389.42979951989	0	0	0	0	0	0	0	1233.98017906962
GEL-2382884-11	0	964.009433962264	3538.20492662474	1297.85901467505	0	652.182914046122	755.791404612159	0	0	0	0	0	0	0	431.952306079665
GEL-2658246-11	0	578.510470169893	0	1518.09126827341	1506.62080205452	500.710786250494	741.091860924536	0	0	0	0	0	0	0	203.974812327147
GEL-2290294-11	811.201889209094	589.600384245917	0	1838.99167467179	1694.59974383606	627.703810438681	646.755523535062	0	0	0	0	0	0	0	54.1469740633956
GEL-2282173-11	0	10856.2832175888	0	0	8011.62610670441	2474.76671164796	7296.33805088372	0	0	0	0	0	0	0	1734.98591317511
GEL-2386754-11	0	0	0	0	0	0	0	0	831790.989643308	0	0	0	0	0	60412.010356692
GEL-2343039-11	0	609.202667439838	0	1793.51270899778	849.373924809123	516.9448149222	954.668213008602	0	0	0	0	0	0	0	464.297670822457
GEL-2418413-11	0	452.6947060734	0	729.536862617733	0	272.320233842157	0	0	0	0	0	0	0	0	92.4481974667099
GEL-2251469-11	0	271.943482522052	0	806.314929761516	0	199.325057170859	155.253185233584	0	0	0	0	0	0	0	100.163345311989
GEL-2092638-11	3625.04141654852	20150.9655214021	0	0	0	0	11242.5338602154	31357.459201834	0	0	0	0	0	0	0
GEL-2888839-11	0	0	0	2673.5785976775	9047.76598559459	1147.03372041746	2975.08746141408	0	0	0	0	0	0	0	1164.53423489637
GEL-2478025-11	0	1824.76109438408	778.398088755073	1081.85835842388	854.388139808876	1021.36627830868	2006.73726927608	0	0	0	0	0	0	0	70.4907710433308
GEL-2882965-11	0	847.688900033434	0	1975.44020951744	3218.71726289981	0	1837.90956201939	0	0	0	0	0	0	0	1095.24406552993
GEL-2469969-11	2757.34773964906	0	0	1347.23830927479	8398.78341544933	1858.19091249604	2536.30086149768	0	0	0	0	0	0	0	420.138761633101
GEL-2485353-11	0	3216.26131596091	0	1174.82600651466	1650.16020846906	2151.01235179153	1755.73443648208	0	0	8144.72646254072	0	0	0	0	1108.27921824104
GEL-2999120-11	0	0	0	2022.97243208861	26791.8787136009	0	1860.39428163639	0	0	0	0	0	0	0	1569.7545726741
GEL-2916523-11	2411.18113892096	0	0	0	33800.5666442553	0	0	0	0	0	0	0	0	0	3230.25221682374
GEL-2815079-11	0	935.592098885119	0	302.206737760543	0	522.492971400873	0	0	0	0	0	0	0	0	300.708191953465
GEL-2481789-11	189.933458099397	581.326679143273	0	983.243917654398	0	289.661052193803	226.015803701393	0	0	0	0	0	0	0	139.819089207736
GEL-2899471-11	374.040912382332	687.494207096307	0	1963.83997103548	0	525.259594496742	1518.6962346126	0	0	0	0	0	0	0	462.669080376539
GEL-2703767-11	5073.66054564533	0	0	2164.6350996852	9399.42890870934	0	0	0	0	0	0	0	0	0	525.275445960131
GEL-2721409-11	0	693.66096609661	0	1799.8096309631	2204.77932793279	822.970597059706	895.644614461446	0	0	0	0	0	0	0	265.134863486348
GEL-2553497-11	0	894.686829023769	0	1794.37470236852	4242.38589748945	905.189022097832	3230.67463135469	0	0	0	0	0	0	0	904.688917665739
GEL-2149702-11	0	1702.75636690494	846.121217309421	848.624534520396	2605.95321662458	0	4749.79407610324	0	0	0	0	0	0	0	943.750588537423
GEL-2069010-11	7015.56514721783	0	0	0	22211.8705987433	0	0	0	0	0	0	0	0	0	2699.56425403887
GEL-2105614-11	0	323.648054919908	0	375.671853546911	0	173.579405034325	148.067734553776	0	0	0	0	0	0	0	72.03295194508
GEL-2068668-11	0	488.968830653167	0	1790.54774667461	1335.64641651777	432.857653365098	646.280524121501	0	0	0	0	0	0	0	352.698828667854
GEL-2416937-11	0	0	0	1677.92670272252	21920.7028325236	0	1858.68812906774	0	0	0	0	0	0	0	1854.68233568614
GEL-2427345-11	0	194.607995558023	0	707.392559689062	341.689616879511	195.108273181566	297.164908384231	0	0	0	0	0	0	0	66.036646307607
GEL-2897114-11	1054.12140279448	926.228000370131	0	2380.51586934394	2453.9546590173	1500.24956047007	2099.74988433423	0	0	0	0	0	0	0	383.180623669849
GEL-2141339-11	0	124.693173002327	0	730.631885182312	0	163.252909231963	195.803335919317	0	0	0	0	0	0	0	76.618696664081
GEL-2725292-11	0	865.907803555288	0	1323.30265140102	0	791.088580897861	0	0	0	0	0	0	0	0	330.700964145831
GEL-2867695-11	2669.36978709832	6231.52711107567	0	2364.11338808707	0	7421.07782473487	4652.28737740212	0	0	0	0	0	0	0	1723.62451160195
GEL-2272972-11	0	329.946045252369	0	992.842196867144	392.029974859795	234.316766582866	334.952813769097	0	0	0	0	0	0	0	304.912202668729
GEL-2528292-11	0	305.657375565611	0	1156.88054298643	0	576.683619909502	327.239095022624	0	0	0	0	0	0	0	406.539366515833
GEL-2553673-11	235.664891728789	475.324103656372	0	809.848420305289	304.56691515797	341.015086971956	542.728257011005	0	0	0	0	0	0	0	103.852325168619
GEL-2352574-11	0	5785.09635322265	0	1351.98992242442	9009.76488073661	1938.20234901762	2275.32451243384	0	0	0	0	0	0	0	336.621982164859
GEL-2804171-11	0	7378.43102783561	0	1937.85056673606	3171.75541676305	4676.13940936078	1217.40612229162	0	0	0	0	0	0	0	1070.41745701288
GEL-2178549-11	0	2335.13114263482	0	1891.93481774107	1089.29580415395	1484.13437481295	932.756269827019	0	0	0	0	0	0	0	595.747590830191
GEL-2002720-12	0	4439.37459166779	0	2574.95735445474	0	1390.05665189958	1226.43227278829	0	0	0	0	0	0	0	1551.1791291896
GEL-2051926-11	0	0	0	2177.21845893311	10631.2473690577	1415.69366154591	1755.82133784928	0	0	0	0	0	0	0	609.019172614
GEL-2623168-11	1462.26170540307	1704.97112604663	0	1718.98321631059	5694.91382870874	1419.22457102091	1160.50133293283	0	0	0	0	0	0	0	167.144219577231
GEL-2572282-11	0	288.894806924101	0	923.861517976032	0	0	546.693297825122	0	0	0	0	0	0	0	500.550377274745
GEL-2106446-11	0	1827.51881085441	0	1980.22791957135	1463.21276718327	1049.50083539782	1866.44466209598	0	0	0	0	0	0	0	475.09500489717
GEL-2759828-11	166.866790747142	222.822121776123	0	915.269343259771	0	250.300186120713	274.780643445892	0	0	0	0	0	0	0	48.960914650359
GEL-2617629-11	999.794148143348	4499.82463871428	0	1634.11522260385	0	3427.93717192664	4200.43710712203	0	0	0	0	0	0	0	688.891711489852
GEL-2024072-11	338.264549037793	461.178993739856	0	1820.23301646186	475.169255738465	472.670994667285	614.572223510318	0	0	0	0	0	0	0	127.910966844423
GEL-2952986-11	0	524.169032258064	0	1509.98693548387	2007.64741935484	569.683709677419	1368.9414516129	0	0	0	0	0	0	0	221.571451612907
GEL-2441228-11	0	0	3627.31916124367	1450.82757290913	11173.7244637262	0	1922.25895396481	0	0	0	0	0	0	0	2589.86984815619
GEL-2742189-11	309.165320409262	637.778136779752	0	1181.80936995153	380.971459343026	540.042003231018	1380.27355950458	0	0	0	0	0	0	0	199.960150780832
GEL-2347744-11	1018.37028293818	3697.65996099764	0	2062.76280406446	0	4969.24663861234	2486.62502993602	0	0	0	0	0	0	0	392.335283451361
GEL-2164875-11	1249.77543565483	7081.72752859453	0	0	2006.63943948739	1229.77902868435	3907.29792203126	0	0	0	0	0	0	0	1220.78064554764
GEL-2060744-11	0	1026.0694654183	0	3583.74992449411	1940.24041075204	1415.71609785563	2570.66868015705	0	0	0	0	0	0	0	1041.55542132287
GEL-2204430-11	1006.80204061218	5626.18785635691	0	2192.6577973392	961.288386515955	3610.58317495249	0	0	0	0	0	0	0	0	1602.48074422326
GEL-2340459-11	3880.1990587415	0	0	5972.45835802684	40883.7561094649	0	3141.63702283423	0	0	0	0	0	0	0	3457.94945093253
GEL-2839869-11	0	2670.59669768621	0	1016.53680703914	1062.03845457508	1720.06228047941	2471.08947387479	0	0	0	3926.64217692001	0	0	0	942.03410942536
GEL-2963907-11	0	580.343398460628	0	1106.15452930728	669.396092362345	352.208407341622	507.800473653049	0	0	0	0	0	0	0	164.097098875076
GEL-2603364-11	0	3503.73454825462	0	978.903696098563	2163.9977412731	1689.05929158111	783.223049281314	0	0	0	0	0	0	0	630.081673511293
GEL-2140107-11	591.829954954955	3164.61148648649	0	1575.03941441441	0	2578.29391891892	1120.01689189189	0	0	0	0	0	0	0	315.208333333336
GEL-2483781-11	0	1606.85620842572	0	1204.26696230599	1589.85243902439	841.686585365854	3085.18392461197	0	0	0	0	0	0	0	694.153880266076
GEL-2390612-11	294.467829224293	475.141310883945	0	1556.68671076368	806.542393265183	433.71617558629	463.162958508719	0	0	0	0	0	0	0	120.28262176789
GEL-2727449-11	0	28862.9371074002	0	0	0	32338.4530574136	0	0	186786.600770731	0	0	0	0	0	31.0090644551965
GEL-2664909-11	0	288.381859131859	0	1445.40786240786	0	238.902129402129	234.403972153972	0	0	0	0	0	0	0	233.90417690418
GEL-2775684-11	0	914.730744094856	0	1580.17113248063	3946.1814022967	696.913920268882	2685.24180748763	0	0	0	0	0	0	0	878.760993371303
GEL-2606120-11	1186.80046055802	7473.09511058748	0	1310.22770845606	0	4663.25132544315	3177.12729609597	0	0	0	0	0	0	0	851.49809885932
GEL-2096562-11	0	3989.90600750483	1883.59517650916	1024.19239316551	839.927647637437	2379.96145579074	3272.82152355277	0	0	0	0	0	0	0	316.595795839554
GEL-2575438-11	987.365330043183	1386.51301665638	0	3795.90450339297	743.775200493523	939.847748303516	3942.45872917952	0	0	0	0	0	0	0	366.135471930907
GEL-2393967-11	0	0	0	2574.29505220154	3546.10521006708	1077.00610278913	1538.36546123972	0	0	0	0	0	0	0	1196.22817370253
GEL-2792248-11	836.445272969374	3692.96591211718	0	0	0	0	2342.74713715047	0	0	0	0	0	0	0	641.841677762976
GEL-2597405-11	799.415730337079	1184.09698403312	411.228267297457	2068.66351271437	0	993.759905381431	974.225310467179	0	0	0	0	0	0	0	344.610289769364
GEL-2506370-11	0	2632.79055522624	0	627.284001844168	1531.91464137522	539.674504379899	1153.44161232958	0	0	0	0	926.658170322071	0	0	189.236514522822
GEL-2002348-11	0	297.838962442583	0	1296.29910834909	559.697379086733	432.766009186706	905.510402593893	0	0	0	0	0	0	0	206.888138340995
GEL-2310888-11	0	1203.18458875762	0	3048.43404319362	0	582.105500790127	1092.25976371435	0	0	0	0	0	0	0	714.016103544283
GEL-2845858-11	554.49902211524	728.341958778396	0	2015.67887768918	1799.87385286595	642.419587783963	572.982322852415	0	0	0	0	0	0	0	327.204377914856
GEL-2974890-11	683.114864864865	0	0	2427.18468468468	1994.7954954955	737.163513513514	1278.15045045045	0	0	0	0	0	0	0	656.590990990991
GEL-2543698-11	24092.1061994088	0	0	0	121296.812378156	0	0	0	0	0	0	0	0	0	4700.08142243521
GEL-2970703-11	0	0	0	909.127162416988	3505.06255636632	0	701.712224317455	0	0	0	0	0	0	0	980.098056899236
GEL-2891214-11	0	479.618987140816	0	1271.48991903477	257.295602476584	424.662644864264	440.649944435625	0	0	0	0	0	0	0	273.282902047941
GEL-2245509-11	0	2067.29987416513	0	2645.74387764979	3605.6509534411	1801.32562191463	3907.62172103378	0	0	0	0	0	0	0	1467.35795179557
GEL-2138938-11	0	3459.77824540605	0	1110.55228215768	0	2186.57184350919	931.382513337285	0	0	0	0	0	0	0	754.715115589795
GEL-2328709-11	0	3658.33243023571	0	1210.62086155513	586.831481983202	2059.65364399892	1094.25342725549	0	0	0	0	0	0	0	607.308154971548
GEL-2508606-11	298.562131572742	1220.29757132752	0	469.383753831644	0	1480.28707851922	662.246875736854	0	0	0	0	0	0	0	118.22258901202
GEL-2798604-11	800.149121249778	568.6845375466	0	1535.44825137582	1887.13474170069	957.285638203444	2467.79158530091	0	0	0	0	0	0	0	213.506124622758
GEL-2614428-11	237.489280609814	0	0	2087.80133396856	0	270.557408289662	431.388756550738	0	0	0	0	0	0	0	127.763220581226
GEL-2777997-11	329.384720327422	462.039660884818	0	1648.42535568115	710.830247515104	496.580003897876	1306.52601832002	0	0	0	0	0	0	0	183.21399337361
GEL-2505086-11	0	880.380576780873	0	200.542272615233	0	304.322898693616	448.713334976584	0	0	0	0	0	0	0	200.040916933694
GEL-2774796-11	2474.12667607622	0	0	0	7404.88620324629	2717.04093154552	6876.07286520819	0	0	0	0	0	0	0	3191.87332392378
GEL-2631879-11	0	1514.88687464868	0	1037.00299793892	3631.51630129286	0	960.782274686153	0	0	0	0	0	2788.07382424583	0	772.737727187556
GEL-2525191-11	645.57222590105	613.093747043799	0	1987.18323715826	0	706.531832371583	1049.30470154195	0	0	0	0	0	0	0	280.314255983358
GEL-2971287-11	716.166977394547	330.307620601258	0	2027.888604055	318.296434397576	0	615.573292938709	0	0	0	0	0	0	0	286.76707061291
GEL-2055891-11	0	5315.14513652447	0	1723.38493891448	3849.24300687629	2813.81213699179	1032.93103678483	0	0	0	0	0	0	0	243.48374390814
GEL-2171327-11	658.195570914733	738.780732068552	0	2541.18548557726	629.665420692574	967.021933845828	1346.92340785669	0	0	0	0	0	0	0	215.227449044363
GEL-2966949-11	568.465318465318	930.07938007938	0	1480.01323001323	698.686448686449	582.489132489133	958.127008127008	0	0	0	0	0	0	0	82.1394821394824
GEL-2158245-11	0	3671.74756356941	0	3473.15304276055	2257.07425161106	3236.04018920034	1929.9185422685	0	0	0	0	0	0	0	1190.06641059014
GEL-2585389-11	221.322816243062	694.513000292141	0	1146.1717791411	0	812.184633362547	440.141980718668	0	0	0	0	0	0	0	113.665790242482
GEL-2012965-11	0	953.391888233064	0	1591.82395624628	4646.28326203498	702.525640331402	1198.75009476363	0	0	0	0	0	0	0	154.225158390644
GEL-2238158-11	481.668327215522	465.662733787799	0	1792.1262891103	475.666229680126	687.240167802832	1604.56074112917	0	0	0	0	0	0	0	216.075511274251
GEL-2655485-11	178	212	0	520.5	352.5	0	158	0	0	0	0	0	0	0	130
GEL-2481228-11	0	468.218280216476	0	1496.59951894167	0	408.2543595911	525.683704149128	0	0	0	0	0	0	0	425.244137101626
GEL-2871974-11	0	1837.80027153417	0	2183.13855785186	5655.54005128979	996.976617891085	2086.54393573691	0	0	0	0	0	0	0	511.000565696184
GEL-2702434-11	263	0	0	1417.5	0	209	277	0	0	0	0	0	0	0	242.5
GEL-2818675-11	0	5101.54037267081	0	1396.88612836439	5329.01035196687	1825.27122153209	0	0	0	0	0	0	0	0	1351.29192546584
GEL-2539734-11	0	4911.058052838	0	1384.79834504159	2806.60466319011	1158.74964444253	925.199327673146	0	0	0	0	0	0	0	417.589966814625
GEL-2844942-11	449.319062000355	975.192485343755	0	2010.92796233789	0	1131.30333984722	683.485343755552	0	0	0	0	0	0	0	382.771806715228
GEL-2022443-11	237.81847133758	408.547100234663	0	1130.51391216896	359.481394569226	359.982065035199	413.553804894402	0	0	0	0	0	0	0	77.1032517599701
GEL-2028244-11	3806.98218273276	0	0	0	11721.1153421244	5173.0258091813	0	0	0	0	0	0	0	0	617.876665961539
GEL-2836114-11	2003.68010931516	0	0	3873.34817238713	16313.9664503137	0	3360.8021000018	0	0	0	0	0	0	0	2260.20316798221
GEL-2486760-11	0	1057.23264672686	0	2180.10390801354	2357.97954288939	491.036963882619	813.718397291196	0	0	0	0	0	0	0	202.928541196395
GEL-2982993-11	0	9420.9314879551	0	1963.67306366079	4467.75615324249	3182.97006016504	1451.25837673301	0	0	0	0	0	0	0	535.410858243569
GEL-2974452-11	0	1613.59616287257	0	1846.33120159587	2670.93551983103	1363.80726355316	948.997183759681	0	0	0	0	0	0	0	105.332668387689
GEL-2430018-11	0	1109.13452380952	0	2536.525	2993.10952380952	581.882142857143	1383.7869047619	0	0	0	0	0	0	0	236.561904761917
GEL-2290927-11	0	1323.28847411801	0	960.709432645763	3900.35026819589	0	4075.88853517073	0	0	0	0	0	0	0	1207.76328986961
GEL-2239097-11	0	1487.49765100671	0	1141.26543624161	1344.90201342282	778.522147651007	749.502684563758	0	0	0	0	0	0	0	462.310067114096
GEL-2024742-11	0	5513.8770004136	0	1298.70656358372	2223.35363176482	1065.66949826604	1091.67363431008	0	0	0	0	0	0	3982.1333715122	542.58630014954
GEL-2677812-11	2026.9986370259	5069.49856652724	1221.20411712177	0	7405.80218075857	1951.42411994172	3066.02312356065	0	0	0	0	0	0	0	557.04925506415
GEL-2975542-11	0	2428.44054535595	474.355720814935	1445.63165233558	407.163684251298	1648.71206135254	0	0	0	0	0	0	0	0	68.6963358896974
GEL-2202093-11	799.967949191345	1267.15722620191	0	1902.2348423307	1376.08477955838	795.970607783768	466.689609334613	0	0	0	0	0	0	0	157.894985599284
GEL-2355693-11	0	4496.01380916061	0	1859.17867608687	16483.2182569949	0	0	0	0	0	0	0	0	0	2061.58925775762
GEL-2563691-11	0	1002.17385794843	0	2620.83951086612	0	1590.68871570677	1735.06969524172	0	0	0	0	0	0	0	936.228220236961
GEL-2628529-11	0	0	0	3922.68436594607	2579.93665032316	740.912580788946	1235.18782036996	0	0	0	0	0	0	0	500.278582571864
GEL-2836990-11	0	1771.58736708459	0	1709.9800031741	1921.34835740359	1434.49992064752	1891.29598476432	0	0	0	0	0	0	0	739.288366925881
GEL-2480395-11	3634.93872623	0	0	812.946423181407	1442.8419861153	0	0	0	0	0	0	0	0	0	755.272864473292
GEL-2853490-11	0	4010.31435079727	670.055020150692	1128.77729104608	0	1671.63203083932	0	0	0	0	0	0	0	0	1093.22130716664
GEL-2079493-11	741.829259872963	705.764636840652	0	2167.3836647335	784.405550952775	1405.0176056338	1299.32822424745	0	0	0	0	0	0	0	151.27105771886
GEL-2557425-11	372.599165853226	905.240926435354	0	1348.85899369953	0	715.190345194782	0	0	0	0	0	1674.44564735114	0	0	619.664921465968
GEL-2657671-11	0	3499.97193288842	0	1383.01316035676	810.835152497973	1376.02320214557	589.153620657394	0	0	0	0	0	0	0	346.002931453883
GEL-2728251-11	1996.51357262318	4096.5537758909	0	1738.44718898752	1093.28122989837	3335.35796989579	2938.75595008362	0	0	0	0	0	0	0	351.090312620619
GEL-2802783-11	567.222906565326	0	0	2122.83422880356	2386.43781942078	0	1781.70017035775	0	0	0	0	0	0	0	775.804874852583
GEL-2047739-11	0	815.5	0	2042.5	1037.5	673.5	1207	0	0	0	0	0	0	0	344
GEL-2666666-11	0	808.627664613927	0	833.631612190115	0	475.075003947576	543.085741354808	0	0	0	0	0	0	0	506.579977893574
GEL-2367700-11	0	782.122512924957	0	888.139119536268	0	506.07927306909	268.041986526712	0	0	0	575.590161366129	0	0	0	172.026946576844
GEL-2536669-11	203.875987841945	541.170820668693	0	646.606686930091	0	390.762310030395	579.647416413374	0	0	0	0	0	0	0	103.936778115502
GEL-2643504-11	820.193032015066	1125.76494821092	0	1633.38441619586	0	1653.38912429379	1584.37288135593	0	1252.29472693032	0	0	0	0	0	428.600870998114
GEL-2183063-11	0	5551.06208929777	0	887.409583348133	2142.48886441942	1690.280147764	2855.81810109047	0	0	0	0	0	0	0	955.941214080207
GEL-2260433-11	0	321.845960020158	0	1396.33949269276	298.749370065513	508.124979002184	248.539391903242	0	0	0	0	0	0	0	215.400806316143
GEL-2535453-11	0	0	0	0	0	0	0	0	239549.215159363	0	0	0	0	0	30917.784840637
GEL-2954945-11	2041.15115159594	7911.58586980671	0	1784.13211878842	2419.1791453751	3172.73494778938	2653.19647485744	0	0	0	0	0	0	0	274.020291787008
GEL-2463767-11	0	676.417660377359	0	954.795320754717	645.375547169811	460.124226415094	366.49720754717	0	0	0	0	0	0	0	213.790037735849
GEL-2463837-11	0	399.513994910942	0	576.964376590331	0	373.949109414758	0	0	0	0	0	0	0	0	225.572519083969
GEL-2014318-11	1406.01526642128	10024.4980114128	0	1334.86267631728	1322.33581186236	5296.35829154418	0	0	0	0	0	0	0	0	899.929942442101
GEL-2131467-11	700.664947754105	2160.04993893337	640.607952232325	764.725742977337	1157.09811371964	1075.52069480255	4565.33260958068	0	0	0	0	0	0	0	0
GEL-2465040-11	0	0	0	0	0	0	0	0	122381.428572423	0	0	0	0	0	21300.571427577
GEL-2762213-11	350.511652173913	318.056869565217	0	973.144173913043	508.291826086956	305.574260869565	331.038782608696	0	0	0	0	0	0	0	84.3824347826098
GEL-2693751-11	1086.93407910507	0	0	1573.12824610467	278.611266480224	322.628845385537	0	0	0	0	0	0	0	0	494.697562924499
GEL-2509142-11	0	1379.15596330275	0	1400.20412844037	787.802752293578	1377.65252293578	653.996559633028	0	0	0	0	0	0	0	519.188073394494
GEL-2397815-11	0	3790.85443305303	0	0	0	2301.4116269247	0	0	0	0	0	0	0	4587.32384901893	2341.41009100334
GEL-2232407-11	502.350193779191	1271.62078902912	504.84944847461	1491.55520222598	0	938.220212660241	0	0	0	0	0	0	0	0	321.404153830857
GEL-2981909-11	0	8189.68149700801	0	1219.633489976	0	3443.55346698671	0	0	0	0	0	0	0	0	1926.13154602928
GEL-2806869-11	0	2628.86942446043	0	2332.44052757794	7010.31846522782	1448.15263788969	2053.50743405276	0	0	0	0	0	0	0	1202.71151079136
GEL-2755104-11	667.162195727769	2630.11053154496	0	1702.18951813214	1513.00173869846	1484.9739195231	1628.11599602583	0	0	0	0	0	0	0	449.446100347741
GEL-2389577-11	0	2585.52304851649	0	1394.43378326754	1107.15344454349	1570.79893034509	566.566789761874	0	0	0	0	0	0	0	622.524003565516
GEL-2274783-11	5730.4679191776	0	0	2128.7451258419	7711.26550868486	0	0	0	0	0	0	2386.65366891173	0	0	372.867777383908
GEL-2448296-11	894.372404121042	923.352068612115	0	2151.49026376827	2240.92750418038	2020.08247478289	945.836291062085	0	0	0	0	0	0	0	86.9389934732189
GEL-2624764-11	2872.1191160221	0	0	1787.76291712707	0	0	1957.74037569061	0	4060.46152486188	0	0	0	0	0	632.91606629834
GEL-2023123-11	4241.60050709699	0	0	2096.54967891756	7583.17968768513	0	5238.12412028151	0	0	0	0	0	0	0	1941.54600601881
GEL-2456726-11	684.453881884539	0	0	1171.77704047777	227.150630391506	0	526.34903782349	0	0	0	0	0	0	0	406.269409422695
GEL-2228531-11	0	2673.1538074351	0	1020.48608614367	0	1582.70295534623	681.656719637593	0	0	0	0	0	0	0	992.000431437406
GEL-2979823-11	0	1024.95065068934	0	1894.68161319418	6401.05965726066	1139.61293647726	928.313877077696	0	0	0	0	0	0	0	269.381265300864
GEL-2979754-11	0	4122.86844222004	0	1028.09187594959	1941.17347394763	0	2866.75618911431	0	0	0	0	0	0	0	1231.11001876843
GEL-2749136-11	0	0	0	3264.16024691056	34146.7152567698	0	0	0	0	0	0	0	0	0	3403.12449631964
GEL-2016598-11	0	5903.23000898473	0	0	3737.36148547469	1555.48284582876	3049.42680776014	0	0	0	0	0	0	0	789.498851951679
GEL-2646736-11	648.735753885304	5806.61015177679	0	1278.96478233209	0	2445.88884849586	0	0	0	0	0	0	0	0	826.800463509955
GEL-2980040-11	0	2126.82121543246	0	1103.90720349668	0	1510.37303521896	739.43784147264	0	0	0	0	0	0	0	467.46070437926
GEL-2004587-11	388.950057773783	959.376813454872	0	1124.35562973424	443.942996533573	887.386057260239	0	0	0	0	0	0	0	0	89.988445243293
GEL-2559800-11	0	432.193131587895	0	1316.17885073104	589.993879632778	0	390.481468888133	0	0	0	0	0	0	0	227.152669160154
GEL-2884131-11	127.675479898587	220.439695762405	0	645.858384643245	0	142.637450199203	201.487866714958	0	0	0	0	0	0	0	38.901122781602
GEL-2628377-11	0	2585.42602500644	0	1349.96137449572	9414.73062287202	1163.96669623187	2642.92437984607	0	0	0	0	0	0	0	317.990901547881
GEL-2109196-11	0	0	0	1575.9214565152	415.875112849835	322.791152572976	600.541679205537	0	0	0	0	0	0	0	410.870598856452
GEL-2591716-11	2277.89291435613	1905.82873690696	1608.27741219963	4262.23519408503	1750.80199630314	0	2124.86651879236	0	5567.46033271719	0	0	0	0	0	793.63689463956
GEL-2161619-11	0	784.398576512456	0	434.720894763599	0	498.753431621759	0	0	0	0	0	0	0	0	250.127097102186
GEL-2305034-11	387.141481192243	379.159182610959	0	1107.04503449173	1025.22647403358	481.432383183652	387.141481192243	0	0	0	0	0	0	0	65.8539632955931
GEL-2615940-11	532.962249839547	0	0	2246.05519575238	3606.51146507964	687.741700215882	1148.57372075384	0	0	0	0	0	0	0	363.155668358711
GEL-2453665-11	0	971.451931530227	0	2006.43341780007	3382.57361534881	831.386771474376	2037.94807881264	0	0	0	0	0	0	0	443.206185033878
GEL-2773032-11	123.779932860873	327.060798209623	0	585.187243565834	0	217.369638194703	0	0	0	0	0	0	0	0	95.602387168967
GEL-2795334-11	0	3701.85892282958	0	1580.2935590836	0	1345.67574356913	2010.00934485531	0	0	0	0	0	0	0	1319.16242966238
GEL-2123835-11	0	11798.1935568866	1573.85931599009	3056.19773753272	0	5216.19086932846	4533.53501730225	0	0	0	0	0	0	0	2293.02350295988
