Hartwig-Bladder_common_SBS125	Hartwig-Bladder_common_SBS1	Hartwig-Bladder_common_SBS17	Hartwig-Bladder_common_SBS109	Hartwig-Bladder_common_SBS31	Hartwig-Bladder_common_SBS13	Hartwig-Bladder_common_SBS2	Hartwig-Bladder_common_SBS92	Hartwig-Bladder_rare_SBS6	Hartwig-Bladder_rare_SBS44	Hartwig-Bladder_rare_SBS88	Hartwig-Bladder_rare_SBS104	Hartwig-Bladder_rare_SBS132	Hartwig-Bladder_rare_SBS15	Hartwig-Bladder_rare_SBS18	Hartwig-Bladder_rare_SBS149	unassigned
HMF001201A	3903.97738244472	2074.05051609634	0	1349.18336756194	0	7609.35417277892	0	1708.86554823567	0	0	0	0	0	0	0	0	2110.56901288241
HMF000969A	2344.89104300309	2375.90282727489	0	0	0	10362.9378474697	0	2755.04689950107	0	0	0	0	0	0	0	0	3214.22138275125
HMF000108A	5422.37391810784	1705.20244932296	0	4751.38449840648	0	7652.1771795577	6568.00216782877	2972.23831556469	0	0	0	0	0	0	0	0	1811.62147121156
HMF000361A	1043.34888819292	1294.55327278422	0	649.528468524898	0	3129.04585029753	1106.40018791106	0	0	0	0	0	0	0	0	0	766.123332289372
HMF000394A	0	3136.11544408177	0	0	0	0	0	0	39594.8957223845	0	0	0	0	0	0	0	948.988833533731
HMF001716A	1290.46434195726	1638.08942632171	0	0	3167.13961754781	9237.82400449944	3316.69343082115	2435.37631046119	0	0	0	0	0	0	0	0	1147.41286839144
HMF003452A	0	1678.8112324493	0	0	0	986.564382575303	822.38725549022	0	0	0	0	0	0	0	0	0	683.237129485177
HMF000917A	0	0	0	0	0	25529.9482226269	1989.16469004829	0	0	0	0	0	0	0	0	0	4076.88708732481
HMF002344A	3411.24168176876	0	0	10656.8170351577	2129.46299383835	5403.6748822037	0	3576.2775643349	0	0	0	0	0	0	0	0	2418.52584269659
HMF003054A	3471.42084387016	3174.88489451623	0	0	7432.40103751689	30521.2001160495	7016.35059930024	3571.93302906433	0	0	0	0	0	0	0	0	2552.80947968265
HMF000691A	3185.30572586511	2637.69870795663	1440.15154664173	1992.25123835256	0	1934.34566490007	863.092556028958	1695.73476739755	0	0	0	0	0	0	0	0	662.419792857392
HMF002844A	0	1940.94825204548	0	0	0	8624.21336733609	6042.45204547869	4033.47055573265	0	0	0	0	0	0	0	0	2897.91577940709
HMF001080A	2619.07239406253	2093.55786825884	0	1472.54070265638	0	7103.6963540371	3345.09246206153	0	0	0	0	0	0	0	0	0	1455.04021892362
HMF001151A	826.899485113051	2058.97470338034	0	354.528766509962	342.493843743004	0	0	486.912916946496	0	0	0	0	0	0	0	0	410.190284307147
HMF003751A	2594.31696475447	0	0	2125.16922753841	7486.85765286479	4108.29372440587	1598.50337755066	9095.36418046271	0	0	0	0	0	0	0	0	1571.49487242309
HMF003434A	0	2787.44453816955	0	0	0	24339.2839654371	8217.38849776682	6451.55712725346	0	0	0	0	0	0	0	0	4421.32587137307
HMF002465A	2594.32820210029	0	0	0	4658.08928345494	1890.23912951795	0	713.090211294336	0	0	0	0	0	0	0	0	2001.25317363248
HMF000819A	2397.32038299924	2287.25976441414	0	1108.11031893642	0	2810.54797823242	3424.3860646139	1588.87511193773	0	0	0	0	0	0	0	0	908.500378866149
HMF000244A	0	1263.15818872421	0	0	0	4118.14582557533	522.272138228942	0	0	0	0	0	0	0	0	0	813.423847471518
HMF001692A	8142.72613658455	2319.06440414364	1049.0291332241	1854.55150387425	1619.54497736551	1307.03629849751	0	1607.04463021079	0	0	0	0	0	0	0	0	105.002916099649
HMF000060A	3301.73038210624	1657.11752096924	0	2483.42544268406	0	7695.8678471575	3994.98872320596	6135.78648648649	0	0	0	0	0	0	0	0	1566.08359739051
HMF002704A	1272.6364918346	2349.17490788336	0	0	0	12127.0651867352	4157.07910658236	0	0	0	0	0	0	0	0	0	2088.04430696448
HMF003083A	4170.6914383123	0	5530.57991663957	0	4517.29045099372	16958.3444776178	12796.6556110635	5421.04862691773	0	0	0	0	0	0	0	0	1363.38947845538
HMF002041A	1258.3181269008	1758.04732741741	0	1650.10582010582	0	3265.730325376	1861.49127192434	1285.3035037287	0	0	0	0	0	0	0	0	916.003624546929
HMF002211B	4700.13036326731	1714.45947364737	0	3037.19972702457	1122.12798348149	0	0	2114.68345348919	0	0	0	0	0	0	0	0	1606.39899909007
HMF003534A	7520.13423128799	2142.17467620051	0	4119.68218687065	0	2531.56997949116	0	7502.61644772093	0	0	0	0	0	0	0	0	3272.82247842876
HMF003110A	3501.80918650902	2344.37225521713	1124.43872936305	1215.43377104561	1241.43235438348	4972.72903612488	0	2913.84122486787	0	0	0	0	0	0	0	0	1037.94344248896
HMF002890A	3930.00997378027	1150.29561462136	0	1927.49534728292	0	0	0	1529.8931674464	0	0	0	0	0	0	0	0	1190.30589686905
HMF001687A	2189.73065335103	0	4177.44002696838	0	0	12047.2689884752	2130.22438531066	0	0	0	0	0	0	0	0	0	3189.33594589473
HMF000764A	3646.83390732624	969.291379670215	0	1096.19860154456	1209.11605092882	1311.04153621373	0	910.33448131914	0	0	0	0	0	0	0	0	432.184042997294
HMF002553A	2977.28328552438	1804.89974113202	0	1038.16791436367	1085.74435038131	5165.29853774575	1299.58791016582	0	0	0	0	0	0	0	0	0	945.018260687051
HMF002485A	0	1058.98490932119	0	0	0	10126.6369883317	5222.89156269369	0	0	0	0	0	0	0	0	0	2154.48653965342
HMF003021A	0	0	0	0	5643.86667973841	23194.1165269143	8726.61317631861	3926.95092328808	0	0	0	0	0	0	0	0	1869.4526937406
HMF003667A	1963.1950073692	3321.5622697126	0	0	0	2770.13103352985	0	1250.57617907148	0	0	0	0	0	0	0	0	1529.53551031687
HMF000140A	2014.46556773239	0	0	0	2913.00416628928	16512.5207861607	7204.30057663859	0	0	0	0	0	0	0	0	0	4461.70890317904
HMF002924A	4251.53880664758	0	0	0	0	28639.4976782348	15713.8394665177	0	0	0	0	0	0	0	0	0	8693.12404859992
HMF002305A	0	0	5911.17813118922	0	0	3332.62718377723	6008.62337048095	0	0	0	0	0	0	0	0	0	1652.5713145526
HMF002732B	1182.44332758233	1964.23644137724	0	0	0	2847.56762433426	2149.30582851999	3942.47813367339	0	0	0	0	0	0	0	0	1249.96864451279
HMF002895A	0	1715.85563316401	0	0	0	10227.0998730044	6243.6134570029	1806.9010341074	0	0	0	0	0	0	0	0	2065.53000272129
HMF003275A	5899.33238464333	2260.41691897784	0	2759.5025432966	0	0	0	3837.84818941504	0	0	0	0	0	0	0	0	1792.89996366719
HMF002711A	7000.64738721039	1735.79270191916	0	3183.70270982581	4272.25914656061	1223.50144955315	0	1590.35196588159	0	0	0	0	0	0	0	0	1853.74463904929
HMF001436A	873.68627195836	970.650878334418	0	591.835783994795	0	0	350.680286271958	865.145348080677	0	0	0	0	0	0	0	0	209.001431359792
HMF002069A	3779.45642922282	3674.01344276691	0	3433.14368223731	0	10213.4775222076	4257.69784172662	2395.20490086804	0	0	0	0	0	0	0	0	1838.0061809707
HMF000236A	15196.5173677215	0	0	0	0	0	18531.8017026474	25138.8744782499	0	0	0	0	0	0	0	0	10725.8064513812
HMF002597A	0	0	0	2584.34971282706	4863.39438417358	4203.31589023612	1903.78430121251	11315.2744097001	0	0	0	0	0	0	0	0	3317.88130185063
HMF000999A	0	0	3015.34445066979	0	0	12576.9496460042	17474.8821575918	8190.08398105231	0	0	0	0	0	0	0	0	7879.7397646819
HMF000634A	0	2560.22790833171	0	0	906.142454845601	2106.15541852787	923.664546513886	3305.16711982909	0	0	0	0	0	0	0	0	509.642551951843
HMF001488A	2748.98383046487	2433.15802045691	0	3240.71262326208	1134.37434923746	2392.68034544007	1902.45072579163	2024.88319960801	0	0	0	0	0	0	0	0	440.75690573897
HMF000531A	0	0	17270.957915158	0	0	41480.4076395649	8336.39310001891	0	0	0	0	0	0	0	0	0	4324.24134525818
HMF002854A	2925.22801073187	6308.57003374454	0	2357.58674005643	0	0	0	7570.38406538696	0	13117.7646595121	0	0	0	0	0	0	3883.4664905681
HMF003655A	3103.06014443692	1922.84709997743	2507.45262920334	3329.1009478673	0	3789.18399909727	5000.40264048747	1583.78589483187	0	0	0	0	0	0	0	0	923.166644098401
HMF002206A	3869.80734811574	748.94655463856	0	1940.65710450433	0	0	0	1888.12578303669	0	0	0	0	0	0	0	0	1615.46320970468
HMF003160A	3113.96566188333	0	16085.0744332173	0	0	3295.87602954912	3090.97698904645	1803.11155642354	0	0	0	0	0	0	0	0	2038.99532988026
HMF003280A	1051.0865457294	2222.3544973545	0	0	1097.15608465608	0	0	4898.89455782313	0	0	0	0	0	0	0	0	1330.50831443689
HMF001523A	0	2611.61077834512	0	0	0	11181.2556461115	6401.72280047133	4894.08156585494	0	0	0	0	0	0	0	0	5476.32920921711
HMF000591A	1608.82586432057	1670.37658945632	0	0	2666.1972644168	5261.83638050725	2756.77190872225	0	0	0	0	0	0	0	0	0	596.99199257681
HMF003499A	0	2660.35583819549	0	0	0	28101.2587081571	12303.1456178804	0	0	0	0	0	0	0	0	0	5531.23983576701
HMF002889A	8933.5	0	1381	2747	0	3051.5	0	0	0	0	0	0	0	0	0	0	2758
HMF000129A	1546.37770226303	1935.72458004965	0	0	0	8952.47595980045	5151.08921986841	1492.82999542091	0	0	0	0	0	0	0	0	1686.50254259755
HMF000352A	4686.88842487517	1076.82560145256	0	1937.38706309578	0	1699.14689060372	0	0	0	0	0	0	0	0	0	0	1602.75201997277
HMF002613A	978.216545814107	2839.48264117776	0	0	0	1838.22566468908	1745.56306306306	768.849154032081	0	0	0	0	0	0	0	0	947.662931223912
HMF002163B	0	1092.62539628138	0	0	6184.87953046011	955.172521634821	0	1705.4153028875	0	0	0	0	0	0	0	0	1728.90724873619
HMF002728A	3431.41313801785	1637.67443350881	0	0	0	1618.66660563058	2563.55573357748	11303.6551155871	0	0	0	0	0	0	0	0	1299.03497367818
HMF002594A	8241.88958863051	0	0	0	4595.88080724738	0	32880.5700742587	9635.2018707798	0	0	0	0	0	0	0	0	4025.45765908361
HMF001283A	4708.4314400242	2187.00366812888	0	0	2035.53804265618	12507.1615489336	1515.15614127969	2308.97598699138	0	0	0	0	0	0	0	0	1175.73317198607
HMF000227A	0	0	0	0	0	23332.1360827265	9675.45921801383	2784.35158783577	0	0	0	0	0	0	0	0	5078.0531114239
HMF000378A	1171.71278721279	3874.70365997639	0	2056.37344473708	2545.46226500772	0	0	0	0	0	0	0	0	0	0	0	1364.74784306602
HMF003575A	0	5516.56187083785	0	0	0	0	0	0	62163.3684373548	0	0	0	0	0	0	0	3380.06969180735
HMF000849A	0	2193.23266301036	0	620.924314442413	0	1706.79195612431	3071.62559414991	0	0	0	0	0	0	0	0	0	611.425472273007
HMF001435A	0	0	0	0	3346.9505362574	5305.01680806787	1466.04450136065	0	0	0	0	3447.65967664479	0	0	0	0	2084.32847766929
HMF000513A	2126.2618220918	7081.70672699984	10468.8273112161	1514.83031294102	0	0	0	0	0	0	0	0	0	0	0	0	1126.37382675124
HMF001668B	1234.94273658831	2033.13743218807	0	746.487743620655	330.322081575246	0	0	401.105384769942	0	0	0	0	0	0	0	0	251.004621257777
HMF001399A	2930.20526712845	1819.74850833276	2117.3709279199	0	1798.23966120294	7537.60040463617	3480.93179480145	8379.44667718264	0	0	0	0	0	0	0	0	1110.45675879569
HMF003770A	708.815028901734	1247.55446865273	0	518.230324588706	265.117830146732	0	0	367.663405958204	0	0	0	0	0	0	0	0	267.618941751894
HMF003791A	2701.20210779082	0	0	4199.98196371398	0	17159.7549626467	7352.46723585913	3234.94565101387	0	0	0	0	0	0	0	0	2813.6480789755
HMF003186A	10128.7661643945	1897.73834011002	1046.30439288846	1681.38217863882	0	2245.00746764464	0	1482.01472268729	0	0	0	0	0	0	0	0	320.786733636269
HMF003356A	2842.56718326584	0	0	2736.08339676643	0	22027.646012849	15956.570410742	0	0	0	0	0	0	0	0	0	5694.13299637673
HMF002069B	3546.63065983863	3285.62104409977	0	3379.62450723944	0	9353.84460081789	3739.63777032752	2183.0804258925	0	0	0	0	0	0	0	0	1655.56099178425
HMF000282A	942.561614308645	1764.55138729649	0	0	0	4508.18614996561	2416.43980738363	0	0	0	0	0	0	0	0	0	1277.26104104563
HMF001719A	1074.12982315113	1155.10191777676	0	1639.43500229674	2491.64130684428	5478.6119085898	4429.47347266881	0	0	0	0	0	0	0	0	0	1141.60656867248
HMF002163A	0	1051.08495241437	0	701.722906890049	6118.58392175782	977.114161659576	0	1586.87338274637	0	0	0	0	0	0	0	0	960.620674531816
HMF002211A	5534.99715543312	1863.66739527502	1099.59876635626	3608.32410096715	1104.09917058418	0	0	2595.23310476989	0	0	0	0	0	0	0	0	894.08030661438
HMF003467A	1823.30297849366	1005.49428597138	0	971.961126608477	0	349.345451273284	359.855844506434	519.513722667147	0	0	0	0	0	0	0	0	532.526590479618
HMF000414A	1878.95148821028	2577.99149594124	0	1794.38616157712	0	0	0	557.931001159644	0	0	0	0	0	0	0	0	957.739853111716
HMF002812A	0	4900.06499205087	566.391923688394	990.311033386327	0	0	0	0	0	0	0	0	0	0	0	0	1404.23205087441
HMF000877A	0	0	1110.33879823981	0	9684.1767592196	814.982670664745	0	0	0	0	0	0	0	0	0	0	1245.50177187585
HMF002912A	0	2154.33130144605	0	0	0	923.499710789766	1099.9773971079	0	0	0	5749.56280311457	0	0	0	0	0	1340.62878754171
HMF002089A	2403.5777368168	0	0	0	0	19289.6365603462	7652.33935726879	3242.27933162366	0	0	0	0	0	0	0	0	4855.16701394455
HMF001233A	7832.3764843171	3934.43795436267	0	5452.91400816867	5095.41964581395	2228.46485736363	2835.45528519389	3546.94406509706	0	0	0	0	0	0	0	0	779.987699683028
HMF002115A	4149.38848628906	1220.43776450809	0	0	0	1027.60560032466	5260.92103890081	4361.20412777552	0	0	0	0	0	0	0	0	1214.44298220186
HMF001054A	2905.43537732183	0	0	9047.2418201601	1453.71749436543	2027.60596875729	1778.15444548069	0	0	0	0	0	5852.36269138105	0	0	0	2664.48220253361
HMF003185A	0	0	0	0	0	28531.2085693931	29808.5984666011	0	0	0	0	0	0	0	0	0	632.192964005801
HMF001363A	2531.69613073131	1282.60598284827	0	0	0	6115.38929029644	3008.92160172868	0	0	0	0	0	0	0	0	0	1877.3869943953
HMF002367A	0	2521.25102880658	0	498.136259716507	0	748.707818930041	2183.98171010517	0	0	0	0	0	0	0	0	0	623.923182441702
HMF001514A	0	0	0	0	0	55241.1336114556	5819.46140224045	5725.46202569426	0	0	0	0	0	0	0	0	8599.94296060968
HMF002737A	0	1590.60782515056	3995.56275675029	0	0	3727.45463247318	1924.3648546245	0	0	0	0	0	0	0	0	0	1327.00993100147
HMF002732A	2160.80157928565	2122.8050684051	0	0	0	3449.1832705904	2189.29896244606	4476.58892663667	0	0	0	0	0	0	0	0	1936.32219263612
HMF003463A	395.777559055118	1460.87007874016	0	516.013779527559	384.254921259842	0	0	511.504921259842	0	0	0	0	0	0	0	0	294.578740157479
HMF000324A	1301.86784631566	1282.84786240178	511.537462104807	491.516426405989	0	2022.12460558065	1867.96263069975	0	0	0	0	0	0	0	0	0	612.143166491363
HMF003524A	5047.93025617876	0	7450.6590678253	2008.27333258097	2656.20020313734	1554.82451190611	1336.84911409547	0	0	0	0	0	0	0	0	0	2095.26351427605
HMF002446A	2977.27694958424	2150.3389017904	0	0	3278.75436362274	13239.0081654056	12207.0854745674	3998.70042699828	0	0	0	0	0	0	0	0	2192.83571803134
HMF002609A	1509.5250242503	3104.63651373496	0	1414.42895176769	1535.55131777186	8458.04488886137	0	6620.68866736838	0	0	0	0	0	0	0	0	1608.12463624544
HMF000711A	2766.94955576768	1184.97731110948	0	1591.98472721933	0	5151.92290182833	2056.0632939276	0	0	0	0	0	0	0	0	0	884.102210147579
HMF000188A	2559.31172422462	2652.41400873582	0	1027.62897904032	1393.03041825095	4333.26062910474	2426.16544637526	1252.87644156742	0	0	0	0	0	0	0	0	284.31235270087
HMF000754A	0	1522.65298432476	2917.29310691318	0	1592.66001808682	5265.02898914791	2685.26979501608	4423.44443327974	0	0	0	0	0	0	0	0	1499.65067323151
HMF003571A	0	2642.59397482014	0	0	0	3543.79653776978	0	956.715040467626	0	0	0	0	0	0	0	0	1754.89444694245
HMF000385A	442.134742404227	2157.65755512651	0	459.640077227924	0	0	405.623615486231	960.792805609186	0	0	0	0	0	0	0	0	496.151204145922
HMF000061C	0	1146.04707837164	1397.83771808363	0	3006.9997230684	1781.51869288286	5009.83439490446	2492.42758238715	0	0	0	0	0	0	0	0	1401.33481030186
HMF000172A	0	1821.24843775695	0	6290.58510113468	1267.52088472291	0	0	1770.22747081072	0	0	0	0	0	0	0	0	1017.41810557474
HMF001719B	1365.88198273041	1476.25123983586	0	1993.13893713969	2948.50721244619	5763.67238124009	4715.91355134305	0	0	0	0	0	0	0	0	0	1574.63469526471
HMF002840A	0	1057.00423618916	0	0	0	9619.13892971384	4769.53142560733	0	0	0	0	0	0	0	0	0	1921.32540848967
HMF003308A	1672.41931272196	2197.52193440568	0	0	1962.75250678922	5022.76425736369	2960.39743054105	3811.37403384165	0	0	0	0	0	0	0	0	1542.77052433675
HMF000319B	0	0	0	0	0	26489.7755205806	9820.54604913449	0	0	0	0	0	0	0	0	0	6956.67843028491
HMF001286A	3785.5	1255	2278	1362.5	2640	5041	1813	1970	0	0	0	0	0	0	0	0	0
HMF003280B	2382.65770788099	1514.7394519101	0	1281.16513115427	6420.29927821137	0	0	4385.00850889032	0	0	0	0	0	0	0	0	1026.12992195295
HMF000516B	0	0	0	1865.46149258326	11028.3164284203	2097.39453989264	3073.11287684938	5730.34580679916	0	0	0	0	0	0	0	0	2186.36885545526
HMF001887A	3065.53818961751	0	0	0	0	12013.7711999047	4177.00818207094	2327.390177543	0	0	0	0	0	0	0	0	3581.29225086385
HMF002132A	0	10215.4657068349	0	0	0	0	8856.90377215698	0	0	0	0	0	0	80220.1571093807	0	0	10384.4734116274
HMF001638A	12437.6747631223	1849.19502932772	0	3937.98010979095	0	3837.9425101519	0	0	0	0	0	0	0	0	0	0	4543.20758760713
HMF000678A	0	0	0	35590.9333886229	0	0	0	0	0	0	0	0	0	0	0	0	4219.0666113771
HMF001286B	5092.17772047847	0	5861.4311665148	1678.55303309358	3867.27415133479	4860.10125821523	1790.58994591032	1689.05649367015	0	0	0	0	0	0	0	0	959.816230782661
HMF000061B	0	1136.16663244052	1474.71628480066	0	3073.95083169537	1711.25097544518	5730.84049637692	2494.86590195676	0	0	0	0	0	0	0	0	1424.20887728459
HMF003223A	0	1404	0	0	1058.5	5300	3300.5	3697.5	0	0	0	0	0	0	0	0	1188.5
HMF003865A	0	2652.59308571574	0	0	2993.71925358316	6706.15088719737	4107.99814159517	1702.13467070594	0	0	0	0	0	0	0	0	1456.40396120262
HMF004117A	0	0	0	0	9062.5397550722	11986.1330652532	4448.33814659112	3697.45626942058	0	0	0	0	0	0	0	0	3604.5327636629
HMF003925A	0	0	0	0	0	37271.9329492628	11286.3985968115	0	0	0	0	0	0	0	0	0	4070.6684539257
HMF004385A	0	0	3658.23713980098	0	6877.94585264659	7829.00750380863	10347.6707724223	0	0	0	0	0	0	0	0	0	2140.1387313215
HMF003958A	2907.60972156678	2247.4712914897	0	0	0	11414.8936867495	0	0	0	0	0	0	0	0	0	0	2505.02530019402
HMF003863A	8100.8073581349	2826.47952462462	0	0	0	6896.389963816	21335.8940155569	4595.59261586462	0	0	0	0	0	0	0	0	2413.83652200296
HMF003939A	2197.9653623564	2420.71521119461	0	995.616740088106	996.117301546169	6443.2270881921	4051.04388010711	0	0	0	0	0	0	0	0	0	280.314416515503
HMF004337A	0	0	0	0	13784.8465658624	5215.75276105607	0	9100.068635351	0	0	0	0	0	0	0	0	3543.33203773053
HMF003891A	0	1857.11862369944	0	0	0	9421.52860440846	3556.31219759021	0	0	0	0	0	0	0	0	0	968.040574301889
HMF004084A	0	5288.99460672756	0	4407.9122112417	0	2506.23437353867	1252.11709324438	1410.13187018736	0	0	0	0	0	0	0	0	1174.60984506033
HMF004375A	3914.16444586657	0	0	0	1845.2275043997	6048.16229744246	6981.03565469796	0	0	0	0	0	0	0	0	0	3108.41009759331
HMF004257A	2180.78021039141	1400.82234207294	1583.92983392962	1304.76595290223	2804.64644630747	3676.15806055428	3898.78875420516	1888.10839963689	0	0	0	0	0	0	0	0	0
HMF003901B	854.285714285714	535.687394957983	0	0	0	0	0	690.966386554622	0	0	0	0	0	0	1270.3731092437	0	535.687394957981
HMF003996A	4887.55943356294	0	0	1938.12702505099	5806.38261438412	7105.63258552353	2806.45992226883	1565.6986955016	0	0	0	0	0	0	0	0	1872.13972370799
HMF004106A	0	0	0	0	0	42732.7946326799	22849.5637280668	11742.8175477348	0	0	0	0	0	0	0	0	7344.8240915185
HMF003884A	0	0	0	0	0	27889.1181938316	12561.6565502721	0	0	0	0	0	0	0	0	0	4209.2252558963
HMF004200A	268.00177105136	1198.21429721462	257.442601835453	0	240.346804057318	0	0	273.532764450169	0	0	0	0	0	0	0	812.553212043149	72.9085493479311
