Hartwig-Esophagus_common_SBS28	Hartwig-Esophagus_common_SBS17_a	Hartwig-Esophagus_common_SBS2	Hartwig-Esophagus_common_SBS3+8	Hartwig-Esophagus_common_SBS127	Hartwig-Esophagus_common_SBS18	Hartwig-Esophagus_common_SBS17_b	Hartwig-Esophagus_common_SBS13	Hartwig-Esophagus_common_SBS1	Hartwig-Esophagus_rare_SBS112	Hartwig-Esophagus_rare_SBS90	Hartwig-Esophagus_rare_SBS93	Hartwig-Esophagus_rare_SBS4	Hartwig-Esophagus_rare_SBS44	unassigned
HMF000357A	0	0	0	2157.31974786906	2124.88260153284	0	0	912.232361578683	914.72752668147	0	0	0	0	0	857.837762337947
HMF003385A	0	0	3169.86613703533	3086.40915376481	3214.84295436675	2429.24787831133	0	2802.55546216209	1483.23548710718	0	0	0	0	0	2244.84292725251
HMF000334A	0	10346.1552373879	0	0	4585.16531880948	0	11774.2640424713	0	5969.72506464213	0	0	0	0	0	3719.69033668919
HMF003222A	1309.58195644011	3762.73548003505	0	2503.65668419076	0	2053.12848917261	1233.07716860683	0	3157.69761547127	0	0	0	0	0	1959.12260608337
HMF002192A	0	0	2549.84312916753	7233.81040764419	2824.48779817144	3516.85250108843	0	4040.12813638551	1348.21016933617	0	0	0	0	0	318.667858206729
HMF003311A	0	0	624.285365853659	1601.73216463415	1519.19443597561	0	510.733460365854	0	1249.07096036585	0	0	0	0	0	1057.98361280488
HMF002948A	3105.86842046595	3670.70821536061	0	2897.24291606287	3217.93583769925	2988.29769256493	1551.4333073236	0	3461.58240998774	0	0	0	0	0	1547.93120053505
HMF003091A	1536.67544688806	1892.86842271095	1801.94679353877	0	7484.54861680005	7467.56325750415	0	0	2250.06053731594	0	0	0	0	0	1349.33692524208
HMF002054A	8396.51439673026	11874.4406260882	0	0	0	0	0	0	0	0	0	0	0	0	7060.04497718154
HMF001439A	0	0	711.3597859427	2618.6869411995	2204.31234092541	987.275076682112	0	0	602.498662141878	0	0	0	0	0	562.8671931084
HMF001257A	6090.20449181841	19906.6164363282	0	5212.54406911026	3520.62645104545	7689.26383990386	8578.90597486741	0	3370.85504785293	0	0	0	0	0	2958.98368907348
HMF001074A	0	8397.33439275357	0	4124.62015811847	1610.52308211831	3037.42952206905	2411.53192165587	0	3341.62276031942	0	0	0	0	0	2263.93816296531
HMF000717A	1204.47125932427	2353.46687143484	0	3163.1114523914	4018.23606845108	0	2315.48354541466	2069.59148749452	1920.65686704695	0	0	0	0	0	1178.98244844228
HMF003491A	25087.6960844179	27449.2909414001	0	0	0	5066.63079498597	11596.5105625347	0	0	0	0	0	0	0	3662.87161666133
HMF002490A	0	0	0	3338.61307891382	2692.18799490131	1382.83973888524	0	2309.23237668508	2650.19286183321	0	0	0	0	0	569.933948781339
HMF003214A	1463.10675455452	6573.47962931433	0	0	3413.24904531413	3926.78651521417	0	0	1975.14411500012	0	0	0	0	0	3206.23394060273
HMF003173A	6372.01387648269	7798.5692266146	0	0	2515.21602027462	0	3381.44602089782	0	1904.90625064916	0	0	0	0	0	2089.84860508111
HMF001609A	2474.47346972492	2945.20747859129	1234.49120246716	1928.36211691494	1306.37423245312	3161.3557562574	1396.22801993557	0	3569.69130159429	0	0	0	0	0	112.816422061311
HMF001984A	2874.33664051684	4340.498269497	1677.11294416244	1872.06795108445	2901.83029533918	1579.1355560683	1454.16439778496	0	4638.92939547762	0	0	0	0	0	326.924550069209
HMF002296A	4277.19877930891	3763.21564910818	1857.13243740167	2211.27630456622	2546.93875694221	3974.50317493413	2560.92469245787	0	4913.05934757473	0	0	0	0	0	247.75085770608
HMF001527A	2679.94269094043	6105.78692233114	0	3083.66002369924	3894.09630507379	1979.06538834429	9699.22137240116	0	3725.00527846601	0	0	0	0	0	1341.22201874394
HMF001329A	0	8475.87131483777	0	7119.59182395563	4525.60098654365	3286.38877742706	7563.84714963005	2111.2133720113	2827.12482588527	0	0	0	0	0	3239.36174970927
HMF001831A	1772.61334908447	1448.95782634377	0	3152.64453632605	3303.98346131128	1387.02374483166	1629.76538688718	1252.66674542233	2089.77578263438	0	0	0	0	0	874.569167158879
HMF001320A	8911.16622289844	3397.30696082161	2046.40142005832	5028.31494864968	3429.87701280588	1610.46380119183	0	0	2564.01470774693	0	0	0	0	0	676.454925827307
HMF000774A	19080.1298820395	5733.28539297643	3554.12714056799	6051.16260594243	5769.27149255748	0	6969.80775913663	0	0	0	0	0	0	0	4619.21572677954
HMF003778A	0	5452.7032835024	0	1453.95403986474	3444.81429079907	0	8123.71151450436	0	2786.70350596191	0	0	0	0	0	1252.11336536752
HMF000732A	0	2140.59483061666	2431.99515254676	2016.84948842717	0	11809.6966086329	0	0	5474.73344557716	0	0	0	0	0	3095.13047419935
HMF001803A	0	0	2273.85528854587	4373.60680582354	2171.79445711279	1263.75323627434	0	2824.68359936853	0	0	0	0	0	0	1353.30661287493
HMF000433A	736.972014526811	669.428754539628	1252.80239265114	890.070070497757	607.389019440291	592.879726554155	0	0	1883.20615253151	0	0	0	0	0	393.251869258708
HMF002215A	0	8331.41190045938	0	2011.7555899066	4479.13526811957	0	3480.26707452483	3147.31100999325	1379.89009601359	0	0	0	0	0	167.22906098278
HMF002001A	0	0	3478.78168478674	1996.03048734129	1585.90781570744	0	0	1868.83737550369	2040.59815251273	0	0	0	0	0	2202.84448414811
HMF002443B	4936.89930766428	5402.98420988704	0	7769.41527997085	6046.60145147577	0	2283.41594801409	3206.08402162031	0	0	0	0	0	0	3292.59978136766
HMF000240A	6930.02335058548	9871.00393761714	0	0	2007.53457021511	0	6977.57153910965	0	0	0	0	0	0	0	3321.86660247262
HMF003640A	0	0	1896.08788225813	2280.22644950587	1726.86605590194	1779.08881537091	0	2827.56114009416	1202.62989354031	0	0	0	0	0	126.539763328681
HMF001003A	0	0	5351.907918503	4606.65486597789	2580.10710931291	6404.47149772415	0	7494.07250198685	0	0	0	0	0	0	1272.7861064952
HMF000420A	0	0	1448.05358649789	3188.92132719601	3033.75485232068	0	0	1815.94829305715	2586.27476026084	0	0	0	0	0	976.047180667429
HMF003559A	1189.55995562578	1682.87746663529	0	1475.45419706189	2195.68776683363	4121.47537566813	0	0	2513.07036003631	0	0	0	0	0	1689.87487813897
HMF002528A	2958.63920479335	5377.43547308106	0	3845.38121346092	0	4612.65797969809	11687.5995753468	0	2009.91522934179	0	0	0	0	0	3879.37132427799
HMF001862A	2633.36608789528	4646.73458233998	0	0	3356.77987944762	4044.72241464621	1590.21139399937	0	3508.65680806082	0	0	0	0	0	2432.52883361072
HMF001078A	2303.94427271731	5843.59048558588	0	3204.2271182725	0	3840.57362709635	0	0	1846.55459826811	3367.18781102707	0	0	0	0	2395.92208703278
HMF003608A	0	0	951.697628717411	1142.13738591205	1478.41390453732	1842.25407223023	0	0	5368.89768112145	0	0	0	0	0	692.599327481539
HMF003523A	36607.562984073	42615.8406150169	0	6137.36953873733	0	0	17876.2270919997	0	0	0	0	0	0	0	5617.99977017306
HMF001845A	0	1240.25184062365	1506.8760285838	4106.71150931139	1968.72504330879	3479.59544174968	0	0	3814.12391728021	0	0	0	0	0	2329.71621914248
HMF000182A	4165.18002397695	4453.62323975164	2231.06078336644	2558.99622452449	2727.46305938769	5467.42365845366	0	0	5237.46892837333	0	0	0	0	0	1096.7840821658
HMF002908B	10928.8274064532	5364.6607148207	0	4174.62506366278	0	0	24170.7241079721	0	0	0	0	0	0	0	5431.16270709122
HMF000103A	1229.70298668586	1562.98697373156	1367.11392587262	2498.880388629	1343.62914717524	1512.51968333933	0	0	4085.85181720043	0	0	0	0	0	285.31507736596
HMF003490A	3634.10107526882	10461.7303556658	0	3507.58014888337	2196.36327543424	2469.90851943755	8655.43159636063	0	3991.16013234078	0	0	0	0	0	1359.72489660881
HMF003663A	3075.3609754995	3725.33159298436	1411.43619473827	0	3769.3296040141	2404.89128469397	1744.92111924781	0	4012.31861947383	0	0	0	0	0	1977.41060934816
HMF000500B	6008.80451635491	12005.0959037711	3929.12248674602	7171.02393217965	3258.41877563269	0	0	0	2766.90307092128	0	0	0	0	0	4890.63131439435
HMF001562A	0	13194.7087215693	0	0	6064.24746306913	0	0	0	0	0	80251.493494055	0	0	0	10296.5503213066
HMF001926A	1205.58674419271	2296.61773551399	2071.50817746971	3755.82791510326	1576.26714977229	1513.73671698221	0	0	4705.2900065878	0	0	0	0	0	340.165554378029
HMF002530A	0	24141.9765754143	0	0	7631.91516348829	0	21711.5259041245	0	0	0	0	0	0	0	8533.58235697291
HMF001397A	6308.21393649323	10643.4864777932	0	5473.45028562606	3963.37783696156	4844.62832587103	0	2686.23943698214	2668.24453193351	0	0	0	0	0	2263.35916833927
HMF000281A	0	2813.43403846154	2110.70118131868	2519.12711538462	1490.05392857143	3584.73840659341	1870.45063186813	0	2862.98571428571	0	0	0	0	0	967.50898351648
HMF000692A	3231.98015689894	5989.02238117213	0	3445.17674203969	3474.20350715275	0	4311.47554222427	0	2027.36940470697	0	0	0	0	0	3548.77226580525
HMF002818B	6443.50119013062	13857.4272568941	0	3884.19931301403	3887.69904208999	11647.5983260764	3699.21363328495	0	4385.16053217223	0	0	0	0	0	3866.20070633768
HMF000146A	0	931.65873095429	0	2421.31360264635	1682.48075380914	861.222333600642	647.415396952686	904.183540497193	1851.82783680834	0	0	0	0	0	666.897804731359
HMF003681A	14171.0845416931	22463.5117605398	0	0	0	0	8503.95087039177	0	5209.58251015768	0	0	0	0	0	3311.87031721765
HMF001532A	2259.41484765482	4292.43842656651	0	1285.8824160619	2497.30059582639	2677.71394685567	1717.17527461667	0	1886.59390619264	0	0	0	0	0	1081.4805862254
HMF003256A	0	0	988.833598726115	1604.47518577495	2928.43020169851	689.779060509554	0	0	885.642250530786	0	0	0	0	0	452.839702760085
HMF001975A	10085.1600899368	9832.6811168346	4019.16527676989	4570.61935069416	2972.25246553016	0	4032.66415255951	2594.78390178327	0	0	0	0	0	0	3918.67364589161
HMF000924A	32738.3849810552	14515.2742918051	0	0	0	0	10850.4475962997	0	0	0	0	0	0	0	6175.89313084
HMF001374A	3799.42296134408	1568.64246687611	2140.32994126485	4021.80139325229	3876.38089058872	2072.86682147248	2404.18569867504	0	0	0	0	0	0	0	2067.36982652643
HMF001677A	0	9690.13718128327	0	3058.67727654805	4492.68181563463	2212.64953768563	4384.86943121322	0	0	0	0	0	0	0	2881.9847576352
HMF002908A	13272.6770027648	11695.9529625871	0	3676.85647289399	0	0	23958.8067056312	0	0	0	0	0	0	0	4531.70685612291
HMF001300A	12421.3538346336	18624.0330995821	0	0	2979.12550721998	4408.70586806715	6371.12981795736	0	0	0	0	0	0	0	4592.65187253981
HMF002772A	2092.62305252999	4115.57554115538	0	0	5817.74269957259	1734.74691851648	1398.42354887633	0	1988.36782021233	0	0	0	0	0	1029.5204191369
HMF001847A	6747.47625083886	7968.33867720528	0	0	4980.39907538588	4209.80150622623	3740.04682723138	0	2419.2365968235	0	0	0	0	0	3444.70106628887
HMF000038A	12091.6421376266	23660.2297922287	0	0	4036.20382081917	0	6786.23263901055	0	3254.11758522827	0	0	0	0	0	7150.57402508671
HMF001406A	0	0	1655.4648199446	1389.82862419206	1079.08439519852	747.289750692521	0	1761.71929824561	3254.79519852262	0	0	0	0	0	967.81791320407
HMF000722A	3034.24434243376	3743.30144157204	1242.6000644278	1388.61182250141	2111.17000885882	2058.16574051703	2388.19231698478	0	2510.20214222437	0	0	0	0	0	150.512120479991
HMF002121A	2282.86243825878	5146.05437843327	0	1708.02658911508	2081.5949776116	1859.35175183493	4478.32585514472	0	2939.60365600332	0	0	0	0	0	1142.1803535983
HMF000695A	0	3073.24110264078	3830.17733647812	0	3519.70349155541	2479.2911384408	3293.22257086299	0	4208.14549551447	0	0	0	0	0	3337.21886450743
HMF001315A	2869.50617231307	6461.14303989084	0	4490.92228642091	2963.08790482485	2473.66044815897	0	0	1781.5559772296	0	0	0	0	0	2432.12417116176
HMF003286A	5758.65479115479	18637.7374517375	0	0	2367.974853332	0	6730.3496464925	0	3419.18565411423	0	0	0	0	0	2980.09760316898
HMF000958A	0	4546.10935565534	2734.17077812887	3163.51165068278	3164.01204797014	0	1799.92904262986	3293.61494539609	2002.5899440102	0	0	5154.59245708373	0	0	1221.46977844299
HMF002408A	0	0	13531.0184258597	0	0	0	0	9296.66563418315	1563.36867603844	0	0	0	0	0	804.947263918712
HMF001858A	0	0	882.788410282865	3563.20041269022	1550.26257415527	1814.64843951509	0	0	2242.77327830797	0	0	0	0	0	1594.32688504858
HMF000858A	2454.93562156982	5012.97353427999	0	4178.6457705375	2642.12133461103	3431.90490460842	2034.51851206551	0	7113.05709556582	0	0	0	0	0	1857.84322676191
HMF000568A	2516.93588883088	3949.33030054441	1476.37581723718	0	2980.73980162577	4904.42650458647	1451.38638228056	0	1318.44258831133	0	0	0	0	0	1507.3627165834
HMF002353A	0	0	494.230961298377	1740.33458177278	1686.70099875156	1796.47440699126	0	0	615.031835205993	0	0	0	0	0	894.22721598003
HMF002634B	0	0	0	2413.50011668158	1735.15689782583	0	0	18886.9775776905	0	0	0	0	0	0	2707.36540780209
HMF000811B	0	0	3045.3900875792	0	0	2751.61129030574	0	38051.6111337279	0	0	0	0	0	0	4096.38748838716
HMF000451A	0	1283.7216637462	2374.21101171263	2586.91635156322	0	2365.22346214147	0	2270.85419164438	3790.74868578807	0	0	0	0	0	1570.32463340403
HMF000084A	1773.7624314493	5674.44134645568	0	3327.74016285983	2971.58904666063	5503.10918256181	2531.02062521927	0	3894.18527614159	0	0	0	0	0	1376.15192865189
HMF001663B	0	5841.37156832916	4655.4840733026	0	0	3718.78306457275	3262.94192196971	19032.2433590002	3987.98452968849	0	0	0	0	0	2260.19148313709
HMF000426A	1668.09057648257	4083.89412064138	0	1609.53474166455	1328.76702087045	2023.42940315602	0	0	3338.1830618478	0	0	0	0	0	1679.10107533723
HMF002105A	13503.5289639085	20437.0045195361	3818.42857837102	9541.82819283354	3907.78649646861	0	5045.97673815849	0	0	0	0	0	0	0	5379.44651072374
HMF003402A	0	0	2889.46980215203	2715.09658104825	2022.12634501909	2399.01371051718	0	1162.82315168344	0	0	0	0	0	0	393.47040958001
HMF000481A	3643.51447553855	9944.35152003221	3163.40787866586	4936.95462049527	5150.2798201463	0	6995.76761291189	2118.26427756526	0	0	0	0	0	0	1269.45979464466
HMF003742A	0	0	0	3866.40212021071	3107.93089683604	1114.19222589405	3502.1758335242	916.569446716618	1484.92255341426	0	0	0	0	0	1298.80692340412
HMF003587A	0	0	3311.41437403989	2700.91617047748	2534.6443053563	0	0	28804.0965378902	0	0	0	0	0	0	2096.92861223613
HMF002443A	4050.70379893829	5461.69061048441	0	9275.0602189781	6238.28413238222	2325.27422030524	3468.88453881885	4220.44280856005	0	0	0	0	0	0	1178.65967153284
HMF001895A	0	0	0	8742.49402833637	0	6473.6408566923	0	11303.7148637581	0	0	0	0	54653.2285735242	0	732.921677689039
HMF002117A	859.296695705568	809.779598572361	0	2500.36331887784	2258.77990559159	2494.36124649806	0	758.261810645892	2641.41201980274	0	0	0	0	0	710.74540430595
HMF002987A	0	1980.02142010383	0	1477.50840044148	914.433552712259	1096.61954788865	1593.62694681764	0	3855.43604627397	0	0	0	0	0	1326.35408576217
HMF000344A	10483.7337685045	0	2262.66915335898	4665.44165986712	3858.34627190426	4722.48373936356	7417.97218012977	0	2431.79391537475	0	0	0	0	0	2791.55931149706
HMF003333A	6717.70996038275	26290.4761300508	0	17386.3959807299	9308.33349317949	0	0	5129.21445697802	0	0	0	0	0	0	2983.86997867904
HMF001892A	1406.28648866425	2738.50521920668	0	1688.54470204739	1650.00944951104	1629.49067868	1024.43716807677	0	2490.27813793356	0	0	0	0	0	1036.44815588031
HMF001081A	10273.8032117814	12820.8533867823	0	0	3565.77012510446	5221.75321844231	4269.61299972145	0	2755.80015986242	0	0	0	0	0	2427.40689830566
HMF001937A	0	0	1469.80552001462	5061.77408152074	1073.58837506854	1290.20709193932	0	852.467190641565	3345.33339426065	0	0	0	0	0	591.824346554566
HMF000393A	1520.79286395206	3155.0702710064	1420.80648236416	4763.85115075582	2649.13918017159	0	0	1235.33174451859	1909.23995642108	0	0	0	0	0	1700.7683508103
HMF002378A	2083.64837553386	4310.70372559487	2369.96264871873	5247.59598078096	3134.96640482001	0	2355.97172437462	0	4860.34718197071	0	0	0	0	0	1843.80395820624
HMF000824A	1551.5806384165	3104.16197379426	0	1880.30959018679	1384.46424588793	2918.53268748258	0	0	1412.98410928352	0	0	0	0	0	2105.96675494842
HMF000993A	0	0	766.835064141723	1380.7043372022	963.935247403787	0	0	0	3883.82651191203	0	0	0	0	0	393.69883934026
HMF002370A	0	0	5284.07273342355	2005.85622462788	2617.26962110961	0	0	0	2407.62787550744	0	0	0	0	0	2475.17354533152
HMF000605A	0	0	0	4163.2431052094	1733.72727272727	0	0	5471.40551583248	0	0	0	0	0	0	2323.62410623085
HMF001365A	9489.91662462836	16470.0908349344	0	0	0	0	9421.91005591989	0	5967.57640416877	0	0	0	0	0	5239.50608034858
HMF001663A	0	5775.74152762194	4501.85742034336	0	0	3582.58023574264	3195.9636613703	18729.64744773	3980.70027869268	0	0	0	0	0	1689.50942849908
HMF002913A	8269.53716896559	10038.152053875	0	9630.1255494684	6217.40386739135	0	2814.68283493211	0	3975.25822307876	0	0	0	0	0	5238.84030228879
HMF003095A	3832.71562919839	6654.9789520824	1954.8750559785	4755.12852664577	2463.60277653381	0	2443.59381997313	0	2740.72682489924	0	0	0	0	0	1962.37841468876
HMF001664A	1502.70734636284	3641.34882464199	0	1602.3537182143	3816.10552703474	1666.94860247981	1517.22867693416	0	2015.96127172836	0	0	0	0	0	916.3460326038
HMF002953A	0	0	983.414095870907	974.875771238728	382.717845277646	369.659231134314	0	0	1193.8586853346	0	0	0	0	0	328.474371143805
HMF000726A	2685.06606018616	6363.84161219387	0	6131.79269211073	5867.2369189987	3704.78103443082	4248.89574359129	0	2166.95683344881	0	0	0	0	0	2035.42910503962
HMF001670A	2881.63686340383	5058.47400167977	0	2170.34359013515	1998.01481255249	1484.02550202336	1752.75849431167	0	2981.53760403146	0	0	0	0	0	1299.20913186227
HMF003148A	0	1015.22374497803	890.134569894492	3796.7066421357	3423.94090038674	0	957.182367739271	0	1659.68317500845	0	0	0	0	0	1583.12859985732
HMF000406A	5897.11426404792	14994.8481989838	0	0	3948.06379009631	0	2949.30657465686	0	0	0	0	0	0	0	5153.66717221511
HMF002011B	12699.7757237031	20401.1878761823	0	3200.83376325595	3649.090570364	3379.43608483806	5479.13900831184	0	0	0	0	0	0	0	3555.53697334475
HMF000065A	0	0	0	3929.61737419173	948.096570143379	816.374754006185	0	0	3542.96626370537	0	0	0	0	0	1451.94503795334
HMF000704A	1702.51863948997	2968.16079896988	2485.29732106404	1906.46097798436	1438.59326026193	1323.12590684966	1219.15530291134	0	2278.35583053296	0	0	0	0	0	594.331961935861
HMF000177A	0	5552.10068130204	0	0	1751.66275548827	5064.41616199849	3578.3538985617	0	3821.44587433762	0	0	0	0	0	1376.02062831188
HMF002024A	5430.27592291946	4379.70620455989	0	5321.32054775182	4098.32145125997	6075.0118585445	3907.39964706713	0	3329.13648620032	0	0	0	0	0	2861.82788169691
HMF000863A	9400.92635055437	0	0	0	11314.7614688999	0	6430.52605698409	0	12917.1351943593	0	0	0	0	44194.9695735367	11260.6813556656
HMF002437A	1190.36259454504	2056.35388494155	0	2028.82236992895	2295.62777905111	3925.99404079762	0	0	3729.26885170754	0	0	0	0	0	2245.57047902819
HMF000500A	5128.08437679967	11629.6913533525	0	2488.54094611271	3542.05828054299	2401.03950637598	0	0	1969.03239819005	0	0	0	0	0	3229.5531386261
HMF002634A	0	0	0	2737.56547093303	0	0	0	43989.9830375783	0	0	0	0	0	0	3071.45149148867
HMF001823A	8700.54251386322	5554.71931064478	1829.0600558153	2148.24504367366	2815.63183646841	0	2468.43061143126	0	2226.7905657642	0	0	0	0	0	1863.58006233917
HMF000157A	4286.73818773323	4764.82051478328	2477.92670557841	4964.85496124773	3600.62003636016	1821.31363505885	0	0	2523.43454214908	0	0	0	0	0	1692.29141708926
HMF002020A	2590.93465486369	3655.90779551588	0	0	4286.39189427757	3013.42399939472	2272.94267483796	0	1991.4497742806	0	0	0	0	0	2013.94920682958
HMF001115A	1574.58739411108	2491.80824231199	1303.26159670961	3138.70081442541	2085.31830686678	2059.88151336039	0	0	4746.70517255468	0	0	0	0	0	910.736959660062
HMF002575A	4430.49110940515	7833.02836276117	0	1744.22491026412	2050.9127954022	0	1971.99311160446	0	4454.96620121584	0	0	0	0	0	1588.38350934706
HMF003226A	2679.80877698854	6791.74815387861	1476.11925358089	1556.59849497152	1347.65238999461	0	4197.91719999062	0	1394.64027006119	0	0	0	0	0	1878.51546053402
HMF000726B	2168.5668197085	5400.16639447817	0	6505.7004591255	5673.67482205035	4297.13240686531	4682.14427017533	0	1825.55625057776	0	0	0	0	0	1901.05857701908
HMF000811A	0	0	3725.90900436252	0	0	0	0	38034.9875819934	0	0	0	0	0	0	6057.10341364408
HMF002011A	12712.3451653537	20568.412434902	0	3476.41479441238	3839.01020887778	3367.38610426968	5590.47109364718	0	0	0	0	0	0	0	3648.96019853728
HMF002818A	5812.86357561846	13592.6885590411	0	3346.28496812038	4087.45883193063	11087.1008008161	3649.85617954603	0	3754.88081611834	0	0	0	0	0	3692.86626880896
HMF001081B	11327.3827673828	14182.723030723	0	0	3839.11295911296	6102.09009009009	5371.25895125895	0	3520.18664818665	0	0	0	0	0	3265.24555324555
HMF004252A	2269.01458263923	3413.0513339655	3003.28455367898	0	3003.78610420564	2691.32012609242	0	1377.75929675286	1844.20128655271	0	0	0	0	0	1967.58271611266
