Hartwig-Liver_common_SBS3+8	Hartwig-Liver_common_SBS167	Hartwig-Liver_common_SBS18	Hartwig-Liver_common_SBS110	Hartwig-Liver_common_SBS2+13	Hartwig-Liver_common_SBS4	Hartwig-Liver_common_SBS92	Hartwig-Liver_common_SBS1+5	Hartwig-Liver_common_SBS5	Hartwig-Liver_rare_SBS24	Hartwig-Liver_rare_SBS18	Hartwig-Liver_rare_SBS102	Hartwig-Liver_rare_SBS31	Hartwig-Liver_rare_SBS23	unassigned
HMF000270A	0	1917.77285809165	0	1210.30329864955	1093.72592428603	0	1324.87934469781	0	8227.9610360859	0	0	0	0	0	2045.35753818906
HMF001979A	0	0	0	147.285513361463	0	0	174.638537271449	87.3192686357243	0	0	0	0	0	0	338.756680731364
HMF001395A	0	1553.69811320755	1457.03024220527	983.207413354744	0	1064.84919041884	2319.02716445872	1148.99531647263	1496.09808644453	0	0	0	0	0	1206.09447343772
HMF002729A	799.093974571587	0	0	0	3451.62096922793	0	0	2649.49437995209	0	0	0	0	0	0	1328.79067624839
HMF000700A	0	0	1651.29518072289	0	860.583668005355	3123.63721552878	0	0	0	2576.72423025435	0	0	0	0	2301.75970548862
HMF000749A	2509.62587337031	0	1163.75394367212	0	950.615861125117	2432.57595620543	3365.68047252035	0	1415.41698480156	0	0	0	0	0	2054.33090830511
HMF000217A	4080.80744938008	0	2942.80778727939	0	2160.84160320225	6154.65217165285	1470.90102149559	0	0	0	0	0	0	0	2536.98996698984
HMF000142A	2241.03414664561	1757.13473688586	0	2284.52510599385	1455.19750187048	5275.90327541774	0	0	8128.81022944551	0	0	0	0	0	2910.39500374095
HMF000860A	0	0	1106.29282308351	0	391.993519990219	0	0	1205.18792028365	0	0	971.52903777968	0	0	0	515.996698862941
HMF000153A	0	0	0	0	733.79392907233	0	0	2966.18813864957	0	0	0	0	0	0	1293.0179322781
HMF000484A	1407.55429960264	1319.05088538251	0	0	0	4370.66860846418	2132.58226920258	827.031904633309	0	0	0	0	0	0	2904.11203271478
HMF001143A	1671.84593023256	1026.47529069767	1927.08575581395	0	0	985.356104651163	4525.61773255814	1065.5886627907	0	0	0	0	0	0	873.030523255817
HMF001811A	0	0	0	0	729.919301069088	0	923.530520749511	0	3233.357397402	0	0	2390.87343372801	0	0	1426.31934705139
HMF003373A	0	0	624.350250448918	561.915225404026	0	0	2129.78357433135	0	0	0	0	0	0	0	1968.95094981571
HMF001588A	2532.39644970414	1847.86982248521	0	2271.86390532544	1374.08284023669	0	0	0	0	0	0	0	0	0	1068.78698224852
HMF003425A	0	0	0	1352.46677782831	693.700672022637	2650.53544540448	2069.12445050781	948.723005406498	1030.07063816886	0	0	0	0	0	1132.37901066141
HMF002918A	1570.31143552311	0	1298.15085158151	741.800486618005	858.58394160584	1161.31873479319	871.615571776156	914.720194647202	0	0	0	0	0	0	411.498783454987
HMF002675A	1963.18937637005	2739.57785049401	1993.14648791181	1175.31734282174	0	3789.07532484036	1318.11290783747	1110.41026781459	1191.79375416971	0	0	0	0	0	435.37668774026
HMF000751A	0	2084.99290417142	0	2368.35097596724	0	0	0	0	3489.22306493265	0	0	0	11809.6007723984	0	1842.83228253029
HMF003194A	0	0	0	0	4014.14433740792	0	0	1115.85614830406	0	0	0	0	0	0	1126.99951428802
HMF000259A	983.495953283475	0	0	0	0	494.746439913943	580.202643171806	873.052556090565	0	0	0	0	0	1068.45241266264	878.049994877571
HMF000048A	1796.49206044154	0	0	2879.59016984169	1459.80613544094	2190.20947942441	3720.05429168568	0	6948.83729310303	0	0	0	0	0	1830.01057006271
HMF000927A	2208.44958258863	0	2475.00384606683	2832.57663853759	0	3905.79511775752	0	0	7510.02884550123	0	0	0	0	0	3173.1459695482
HMF003672A	1068.36049611684	964.227889185117	0	0	0	0	3003.32456242031	653.331980989915	1942.47362930335	0	0	0	0	0	1006.28144198447
HMF003366A	952.088238263503	2180.92882382635	0	0	925.516002019182	1992.41635537607	1686.58495709238	802.180716809692	0	0	0	0	0	0	1392.28490661282
HMF001811B	0	0	0	0	550.213156085262	0	731.602108640843	456.495530598212	2167.09412483765	0	0	2032.06012682405	0	0	657.534953013983
HMF002009A	1147.20391839036	0	1898.37309277987	2469.97991472568	0	2500.40575777864	1719.30952464851	0	2657.02403185454	0	0	0	0	0	1762.7037598224
HMF002635A	1464.17882432976	0	1277.09208695383	4766.70994774112	0	3180.97476730882	0	0	2167.00466928476	0	0	0	0	0	3321.03970438171
HMF003662A	2429.48510388967	1789.72569522693	0	2301.43318159282	860.849055753369	0	0	739.799972957137	2002.81209717402	0	0	0	0	0	973.894893406054
HMF000757A	1171.38648454892	2352.25182054862	2645.09844168585	4292.92193336603	1033.19480813493	0	0	0	0	0	0	0	0	0	1727.14651171565
HMF002466A	2115.54040576542	1163.14768768358	0	1353.42646355625	0	4926.27255960107	1364.91310881891	1232.06755925951	0	0	0	0	0	0	2466.63221531526
HMF002190A	1895.95160379135	3536.11210846777	0	1991.37367396899	0	2219.68721360869	2202.70108593309	0	2484.97056054234	0	0	0	0	0	1587.20375368777
HMF003209A	1165.5	1382	1186	2932.5	0	3496.5	0	1242	1469	0	0	0	0	0	1101.5
HMF003615A	1232.08474957794	716.785199774902	0	932.374845244795	0	2454.59893078222	1747.88801350591	1242.15903207653	0	0	0	0	0	0	625.109229037702
HMF003117A	992.117333333333	802.785777777778	917.184	855.239111111111	0	1557.11466666667	1204.928	941.162666666667	1979.73866666667	0	0	0	0	0	303.729777777771
HMF003542A	0	0	0	0	918.489843446759	0	608.298098072196	904.390218657006	598.730495536292	0	0	0	0	0	862.091344287747
HMF001420A	750.77911079746	792.741848976711	0	2245.25928016937	477.768525052929	958.570501058574	985.871559633028	738.645306986591	0	0	0	0	0	0	214.363867325337
HMF000680A	0	3586.85717507753	0	1157.92996898788	994.386241894559	1169.03478996335	0	612.784212010149	0	0	0	0	0	0	1431.00761206653
HMF001768A	0	0	1569.95837696335	1094.66823734729	1180.72076788831	2323.91863001745	2369.94672774869	759.963917975567	0	0	0	0	0	0	2167.82334205934
HMF002320A	3075.45275865509	1672.33373241544	1400.61703082909	0	980.782200937843	0	0	634.506036116931	1096.87478798763	0	0	0	0	0	1170.43345305798
HMF002920A	828.433204004407	1169.17181587393	2675.09699669493	0	732.289122000287	2012.54969583752	0	942.510897159553	0	0	0	0	0	0	2039.94826842937
HMF003516A	516.950142180095	0	0	289.774786729858	0	304.414976303318	674.963222748815	631.042654028436	0	0	0	0	0	0	245.854218009478
HMF001565A	1558.57754362858	0	0	1564.09907437896	0	2161.42831010134	1704.64712984305	1020.98123147843	3890.16939230966	0	0	0	0	0	1820.09731825998
HMF003601A	0	0	0	2804.34040568897	0	1156.89624621124	2323.75285614362	965.657262765213	1614.07694101189	0	0	0	0	0	1815.27628817907
HMF000248A	1191.57422692397	0	2460.78359683794	0	0	0	0	1679.42344803534	0	0	0	0	0	2041.05295280167	1244.16577540108
HMF004024A	3340.930080061	1222.36492565764	0	1033.18940144872	1178.70903545559	2210.8948532215	1692.54388105223	1233.90613800991	1249.4616850934	0	0	0	0	0	1.09139364212751e-11
HMF003987A	0	902.510729613734	0	3024.91512875537	712.98347639485	2116.88905579399	0	887.468884120172	0	0	0	0	0	0	1701.23272532188
HMF004095A	406.444534086325	0	0	0	408.456635740218	0	579.485276321097	1713.80758370311	0	0	0	0	0	0	632.80597014925
